Inline Vs Block,bOh9WjucNsA,https://www.youtube.com/watch?v=bOh9WjucNsA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/bOh9WjucNsA.mp4,王康龙,已完成,杨亮,已完成,HTML Basics
Span and Div,rv1Oy-EduCk,https://www.youtube.com/watch?v=rv1Oy-EduCk,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/rv1Oy-EduCk.mp4,王康龙,已完成,杨亮,已完成,HTML Basics
Document Structure,VL7Wm0UzY6s,https://www.youtube.com/watch?v=VL7Wm0UzY6s,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/VL7Wm0UzY6s.mp4,王康龙,已完成,杨亮,已完成,HTML Basics
,,,,,,,,
No video,,,,,,,,Project Prep
,,,,,,,,
How Learning Anything Works,ezDcli2Hnf4,https://www.youtube.com/watch?v=ezDcli2Hnf4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/ezDcli2Hnf4.mp4,Ivy,已完成,chenwei,已完成,Getting Focused
The Four Stages of Expertise,6ZMtMGZIzxQ,https://www.youtube.com/watch?v=6ZMtMGZIzxQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/6ZMtMGZIzxQ.mp4,Ivy,已完成,chenwei,已完成,Getting Focused
How to Stick with it,3HXa2hx2COY,https://www.youtube.com/watch?v=3HXa2hx2COY,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/3HXa2hx2COY.mp4,Ivy,已完成,chenwei,已完成,Getting Focused
,,,,,,,,
Why Start With HTML and CSS?,s-90IlhUvAg,https://www.youtube.com/watch?v=s-90IlhUvAg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/s-90IlhUvAg.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
The First Step,xIOeccZZ-5g,https://www.youtube.com/watch?v=xIOeccZZ-5g,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/xIOeccZZ-5g.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
Answer: Exploring the Web,yeRiFE2sRyc,https://www.youtube.com/watch?v=yeRiFE2sRyc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/yeRiFE2sRyc.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
Exploring the Web,_e-gGAM4noQ,https://www.youtube.com/watch?v=_e-gGAM4noQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/_e-gGAM4noQ.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
Page Structure,y5NbZSvn5N8,https://www.youtube.com/watch?v=y5NbZSvn5N8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/y5NbZSvn5N8.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
Summary of HTML,kE34jtaJzNc,https://www.youtube.com/watch?v=kE34jtaJzNc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/kE34jtaJzNc.mp4,Ivy,已完成,chenwei,已完成,Creating a Structured Document
Answer: Visual Styling,sP0qnk5fVMc,https://www.youtube.com/watch?v=sP0qnk5fVMc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/sP0qnk5fVMc.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Visual Styling,DWebPI5kqvo,https://www.youtube.com/watch?v=DWebPI5kqvo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/DWebPI5kqvo.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
HTML-CSS-DOM,tSv2KIF7uE4,https://www.youtube.com/watch?v=tSv2KIF7uE4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/tSv2KIF7uE4.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Answer: Boxes Everywhere,D9EEvWzIcN4,https://www.youtube.com/watch?v=D9EEvWzIcN4,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/D9EEvWzIcN4.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Boxes Everywhere,_optftESD0M,https://www.youtube.com/watch?v=_optftESD0M,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/_optftESD0M.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
"Boxes, Grids and Rules",fvtm9lK-JM0,https://www.youtube.com/watch?v=fvtm9lK-JM0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/fvtm9lK-JM0.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Answer: Boxifying Design,vBBoy0j3sZ8,https://www.youtube.com/watch?v=vBBoy0j3sZ8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/vBBoy0j3sZ8.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Boxifying Design,O3SuZAomNWk,https://www.youtube.com/watch?v=O3SuZAomNWk,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/O3SuZAomNWk.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Interview with Jacques,Nj5RCaE_b00,https://www.youtube.com/watch?v=Nj5RCaE_b00,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/Nj5RCaE_b00.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
Boxes To HTML,JsH_eSZGhyg,https://www.youtube.com/watch?v=JsH_eSZGhyg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/JsH_eSZGhyg.mp4,Ivy,已完成,阿姆,已完成,Creating a Structured Document
,,,,,,,,
No video,,,,,,,,Work Session 1
,,,,,,,,
Where to Focus your Attention,_CxeOYaxnTk,https://www.youtube.com/watch?v=_CxeOYaxnTk,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/_CxeOYaxnTk.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Answer: Adding Style,0JKrE448Rbo,https://www.youtube.com/watch?v=0JKrE448Rbo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/0JKrE448Rbo.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Adding Style,WkbHHwRgEM0,https://www.youtube.com/watch?v=WkbHHwRgEM0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/WkbHHwRgEM0.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Understanding CSS,oaitg9nRqvc,https://www.youtube.com/watch?v=oaitg9nRqvc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/oaitg9nRqvc.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Answer: Styling Up,_3AWzweBPFs,https://www.youtube.com/watch?v=_3AWzweBPFs,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/_3AWzweBPFs.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Styling Up,EsBmDg_edGQ,https://www.youtube.com/watch?v=EsBmDg_edGQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/EsBmDg_edGQ.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Answer: Using Semantic Tags,LVtQltLmzBQ,https://www.youtube.com/watch?v=LVtQltLmzBQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/LVtQltLmzBQ.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Using Semantic Tags,QXKKWQXXYLo,https://www.youtube.com/watch?v=QXKKWQXXYLo,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/QXKKWQXXYLo.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Answer: The Box Revisited,v8CGTt5zDQM,https://www.youtube.com/watch?v=v8CGTt5zDQM,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/v8CGTt5zDQM.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
The Box Revisited,jlp8uLzt16E,https://www.youtube.com/watch?v=jlp8uLzt16E,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/jlp8uLzt16E.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Positioning Boxes,sv2rVjnYfGQ,https://www.youtube.com/watch?v=sv2rVjnYfGQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/sv2rVjnYfGQ.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Adding Image,qifSYo3AUu8,https://www.youtube.com/watch?v=qifSYo3AUu8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/qifSYo3AUu8.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
"Code, Test, Refine",k_wmXN5V1_c,https://www.youtube.com/watch?v=k_wmXN5V1_c,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/k_wmXN5V1_c.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
More on DevTools,gPL4vywt8XM,https://www.youtube.com/watch?v=gPL4vywt8XM,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/gPL4vywt8XM.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Comparing with the Design,Rxs_X2AUILg,https://www.youtube.com/watch?v=Rxs_X2AUILg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/Rxs_X2AUILg.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Answer: Verifying HTML and CSS,XX9zTalDYrM,https://www.youtube.com/watch?v=XX9zTalDYrM,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/XX9zTalDYrM.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
Verifying HTML and CSS,f4h2PYfAEB0,https://www.youtube.com/watch?v=f4h2PYfAEB0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/f4h2PYfAEB0.mp4,Ivy,已完成,阿姆,已完成,Adding CSS Style and HTML Structure
,,,,,,,,
No video,,,,,,,,Work Session 2
,,,,,,,,
No video,,,,,,,,Project Prep
,,,,,,,,
Getting Ready for Stage 2 in IPND,BHwZ_R6AhB0,https://www.youtube.com/watch?v=BHwZ_R6AhB0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/BHwZ_R6AhB0.mp4,權,2017-05-30,杨亮,,Getting Setup with Python
Interview with Mike Wales,SsmNO21xxFE,https://www.youtube.com/watch?v=SsmNO21xxFE,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/SsmNO21xxFE.mp4,權,2017-05-30,杨亮,,Getting Setup with Python
"Ready, Set, Go!",720RcMPUM-8,https://www.youtube.com/watch?v=720RcMPUM-8,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/720RcMPUM-8.mp4,權,2017-05-30,杨亮,,Getting Setup with Python
Welcome to Stage 2,RLnDGoOOvSc,https://www.youtube.com/watch?v=RLnDGoOOvSc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/RLnDGoOOvSc.mp4,權,2017-05-30,杨亮,,Getting Setup with Python
,,,,,,,,
